,,,,,,,,,,APAC,APAC,APAC,APAC,APAC,APAC,APAC,APAC,APAC,APAC,APAC,APAC,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,NOAM,NOAM,NOAM,NOAM,NOAM,NOAM,NOAM,NOAM,NOAM,NOAM,NOAM
Service Name,Namespace,Geo,Ring,ServiceOwner,LastUpdate,# of Total Regions,# of Major Regions,# of Smaller Regions,# of Cores,Malaysia South,West India,Australia East,Central India,Indonesia Central,Japan East,Japan West,Korea Central,Malaysia West,Southeast Asia,Taiwan North,Hong Kong,Qatar Central,Israel Northwest,France Central,Germany West Central,Italy North,North Europe,Norway East,Poland Central,South Africa North,Spain Central,Sweden Central,Switzerland North,UAE North,West Europe,UK West/South,Brazil South,Canada Central,Central US,East US,East US 2,Mexico Central,North Central US,South Central US,West US,West US 2,West US 3
Test Service1,opg-test-service1,APAC,PROD,lizaramrez@microsoft.com,1/1/2026,7,1,6,"27,219",Major,Opportunity,Smaller,Smaller,Opportunity,Smaller,Smaller,Smaller,Opportunity,Opportunity,Opportunity,Out-of-Scope,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Service1,opg-test-service1,EMEA,PROD,lizaramrez@microsoft.com,1/1/2026,6,3,3,"35,667",,,,,,,,,,,,,Opportunity,Opportunity,Major,Opportunity,Opportunity,Major,Opportunity,Opportunity,Smaller,Opportunity,Smaller,Opportunity,Smaller,Major,Out-of-Scope,,,,,,,,,,,
Test Service 1,opg-test-service1,NOAM,PROD,lizaramrez@microsoft.com,1/1/2026,5,3,2,"40,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,Smaller,Opportunity,Smaller,Major,Major,Opportunity,Opportunity,Opportunity,Major,Opportunity,Opportunity
Test Service 2,opg-test-service2,APAC,PROD,lizaramrez@microsoft.com,1/1/2026,7,0,7,"12,307",Major,Opportunity,Smaller,Smaller,Opportunity,Major,Smaller,Smaller,Opportunity,Opportunity,Opportunity,Out-of-Scope,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Service 2,opg-test-service2,EMEA,PROD,lizaramrez@microsoft.com,1/1/2026,6,3,3,"13,503",,,,,,,,,,,,,Opportunity,Opportunity,Major,Opportunity,Opportunity,Major,Opportunity,Opportunity,Smaller,Opportunity,Smaller,Opportunity,Smaller,Major,Out-of-Scope,,,,,,,,,,,
Test Service 2,opg-test-service2,NOAM,PROD,lizaramrez@microsoft.com,1/1/2026,5,4,1,"15,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,Smaller,Opportunity,Smaller,Major,Major,Opportunity,Opportunity,Opportunity,Major,Opportunity,Opportunity
Test Service 3,opg-test-service3,APAC,PROD,lizaramrez@microsoft.com,1/1/2026,7,2,5,"24,296",Smaller,Opportunity,Smaller,Smaller,Opportunity,Smaller,Smaller,Smaller,Opportunity,Opportunity,Opportunity,Out-of-Scope,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Service 3,opg-test-service3,EMEA,PROD,lizaramrez@microsoft.com,1/1/2026,6,3,3,"41,105",,,,,,,,,,,,,Opportunity,Opportunity,Major,Opportunity,Opportunity,Major,Opportunity,Opportunity,Smaller,Opportunity,Smaller,Opportunity,Smaller,Major,Out-of-Scope,,,,,,,,,,,
Test Service 3,opg-test-service3,NOAM,PROD,lizaramrez@microsoft.com,1/1/2026,5,3,2,"44,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,Smaller,Opportunity,Major,Major,Major,Opportunity,Opportunity,Opportunity,Major,Opportunity,Opportunity
